Back to ToC,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Reference_ID,Value,Organization Subtype,Location Name,Location ID,Superior Organization Name,Superior_Organization_ID,Comments,Sup Org Manager,Inactive
893049258,,,,,,,,,,NEW893049258,Finance Business Services-Senior Advisory Manager,Division,St Lucia Campus,S01,Finance Business Services,SUP000000089,,,
913014467,,,,,,,,,,NEW913014467,Collections & Receivables-Principal Admin Officer,Section/Unit,St Lucia Campus,S01,Collections & Receivables,SUP0000000707,,,
91,,,,,,,,,,SUP0000000707,Collections & Receivables-Administrative Manager,Section/Unit,St Lucia Campus,S01,Collections & Receivables,SUP000000089,,,
913036548,,,,,,,,,,NEW913036548,Collections & Receivables-Cash Allocations Team Leader,Section/Unit,St Lucia Campus,S01,Collections & Receivables,SUP0000000707,,,
913046364,,,,,,,,,,NEW913046364,Collections & Receivables-Billing Services Team Leader,Section/Unit,St Lucia Campus,S01,Collections & Receivables,SUP0000000707,,,
92,,,,,,,,,,SUP0000000679,Transport Systems (P&F)-Administrative Manager,Section/Unit,St Lucia Campus,S01,Transport Systems (P&F),SUP0000000504,,,
923027334,,,,,,,,,,NEW923027334,Transport Systems (P&F)-University Fleet Officer,Section/Unit,St Lucia Campus,S01,Transport Systems (P&F),SUP0000000679,,,
94,,,,,,,,,,SUP0000000306,Contract and Grants-Senior Administrative Manager,Section/Unit,St Lucia Campus,S01,Contract and Grants,SUP000000089,,,
943009847,,,,,,,,,,NEW943009847,Contract and Grants-Administrative Manager,Section/Unit,St Lucia Campus,S01,Contract and Grants,SUP0000000306,,,
943016617,,,,,,,,,,NEW943016617,Contract and Grants-Senior Accountant,Section/Unit,St Lucia Campus,S01,Contract and Grants,SUP0000000306,,,
105,,,,,,,,,,SUP0000000707,Accounts Payable-Administrative Manager,Section/Unit,St Lucia Campus,S01,Accounts Payable,SUP000000051,,,
1053037083,,,,,,,,,,NEW1053037083,Accounts Payable-Expense Management Team Leader,Section/Unit,St Lucia Campus,S01,Accounts Payable,SUP0000000707,,,
1053038518,,,,,,,,,,NEW1053038518,Accounts Payable-Accounts Payable Team Leader,Section/Unit,St Lucia Campus,S01,Accounts Payable,SUP0000000707,,,
108,,,,,,,,,,SUP000000051,Human Resources-Director of Central Area,Division,St Lucia Campus,S01,Human Resources,SUP00000001,,,
1081102555,,,,,,,,,,NEW1081102555,Human Resources-HR Office Manager,Division,St Lucia Campus,S01,Human Resources,SUP000000051,,,
1083028547,,,,,,,,,,NEW1083028547,Human Resources-Unpaid Functional Reports To,Division,St Lucia Campus,S01,Human Resources,SUP0000000108,,,
1083036064,,,,,,,,,,NEW1083036064,Human Resources-Deputy Director,Division,St Lucia Campus,S01,Human Resources,SUP000000051,,,
1083036662,,,,,,,,,,NEW1083036662,Human Resources-HR Relationship Manager,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083036663,,,,,,,,,,NEW1083036663,Human Resources-HR Relationship Manager,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083036664,,,,,,,,,,NEW1083036664,Human Resources-HR Relationship Manager InEAIT,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083036665,,,,,,,,,,NEW1083036665,Human Resources-HR Relationship Manager,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083036666,,,,,,,,,,NEW1083036666,Human Resources-HR Relationship Manager,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083036667,,,,,,,,,,NEW1083036667,Human Resources-HR Relationship Manager,Division,St Lucia Campus,S01,Human Resources,NEW1083036064,,,
1083041804,,,,,,,,,,NEW1083041804,Human Resources-Manager (HR Transformation),Division,St Lucia Campus,S01,Human Resources,SUP000000051,,,
1083042471,,,,,,,,,,NEW1083042471,Human Resources-Program Coordinator,Division,St Lucia Campus,S01,Human Resources,SUP000000051,,,
109,,,,,,,,,,SUP000000051,Health Safety & Wellness-Director of Central Area,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP00000001,,,
1091100207,,,,,,,,,,NEW1091100207,Health Safety & Wellness-Senior Advisor - OH&S Programs,Division,St Lucia Campus,S01,Health Safety & Wellness,NEW1093042638,,,
1091116110,,,,,,,,,,NEW1091116110,Health Safety & Wellness-Office Manager,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093021154,,,,,,,,,,NEW1093021154,Health Safety & Wellness-Wellness Coordinator,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093024821,,,,,,,,,,NEW1093024821,"Health Safety & Wellness-Deputy Director, OH&S",Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093025455,,,,,,,,,,NEW1093025455,Health Safety & Wellness-Biological Safety Advisor,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093039806,,,,,,,,,,NEW1093039806,Health Safety & Wellness-Principal Professional Officer,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093041462,,,,,,,,,,NEW1093041462,Health Safety & Wellness-OHS Officer,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
1093042638,,,,,,,,,,NEW1093042638,Health Safety & Wellness-Associate Director,Division,St Lucia Campus,S01,Health Safety & Wellness,SUP000000051,,,
111,,,,,,,,,,SUP00000001,Office of Pres Acad Board-President of the ACAD Board,Division,St Lucia Campus,S01,Office of Pres Acad Board,NEW11016692,,,
1201035358,,,,,,,,,,NEW1201035358,Sch Communication Arts-Senior Administrative Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203027633,,,
1201037163,,,,,,,,,,NEW1201037163,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201037286,,,,,,,,,,NEW1201037286,Sch Communication Arts-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201038340,,,,,,,,,,NEW1201038340,Sch Communication Arts-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201040572,,,,,,,,,,NEW1201040572,Sch Communication Arts-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201048330,,,,,,,,,,NEW1201048330,Sch Communication Arts-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201169541,,,,,,,,,,NEW1201169541,Sch Communication Arts-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201186621,,,,,,,,,,NEW1201186621,Sch Communication Arts-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201206242,,,,,,,,,,NEW1201206242,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201328012,,,
1201284051,,,,,,,,,,NEW1201284051,Sch Communication Arts-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201328012,,,,,,,,,,NEW1201328012,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1201332332,,,,,,,,,,NEW1201332332,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203002216,,,,,,,,,,NEW1203002216,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203004309,,,,,,,,,,NEW1203004309,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201037286,,,
1203004312,,,,,,,,,,NEW1203004312,Sch Communication Arts-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203004309,,,
1203005514,,,,,,,,,,NEW1203005514,Sch Communication Arts-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201037286,,,
1203008075,,,,,,,,,,NEW1203008075,"Sch Communication Arts-Research Coordinator, Auslit",Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203021543,,,
120,,,,,,,,,,SUP0000000701,Sch Communication Arts-Head of School,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP00000007,,,
1203013203,,,,,,,,,,NEW1203013203,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201328012,,,
1203019067,,,,,,,,,,NEW1203019067,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203019965,,,,,,,,,,NEW1203019965,Sch Communication Arts-Senior Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201037163,,,
1203020715,,,,,,,,,,NEW1203020715,Sch Communication Arts-Web Developer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203021543,,,
1203021543,,,,,,,,,,NEW1203021543,Sch Communication Arts-UQ Research Fellowship,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203025931,,,,,,,,,,NEW1203025931,Sch Communication Arts-Principal Technical Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203027633,,,
1203027087,,,,,,,,,,NEW1203027087,Sch Communication Arts-Web Developer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1203021543,,,
1203027633,,,,,,,,,,NEW1203027633,Sch Communication Arts-School Manager,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203028442,,,,,,,,,,NEW1203028442,Sch Communication Arts-Unpaid Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203028446,,,,,,,,,,NEW1203028446,Sch Communication Arts-Scholar Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203029830,,,,,,,,,,NEW1203029830,Sch Communication Arts-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201328012,,,
1203039491,,,,,,,,,,NEW1203039491,Sch Communication Arts-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203043599,,,,,,,,,,NEW1203043599,Sch Communication Arts-Research Fellow,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,SUP0000000701,,,
1203044107,,,,,,,,,,NEW1203044107,Sch Communication Arts-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW1201037286,,,
1203044710,,,,,,,,,,NEW1203044710,Sch Communication Arts-Deputy Head of School,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Communication Arts,NEW7013044511,,,
1261034263,,,,,,,,,,NEW1261034263,Sch Music-Associate Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1261039749,,,,,,,,,,NEW1261039749,Sch Music-Clerical Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1261241696,,,,,,,,,,NEW1261241696,Sch Music-Clerical Officer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1261258137,,,,,,,,,,NEW1261258137,Sch Music-School Manager,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
126,,,,,,,,,,SUP0000000701,Sch Music-Head of School,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP00000007,,,
1263013898,,,,,,,,,,NEW1263013898,Sch Music-Professor,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1263028443,,,,,,,,,,NEW1263028443,Sch Music-Unpaid Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1263028447,,,,,,,,,,NEW1263028447,Sch Music-Scholar Functional Reports To,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
1263033581,,,,,,,,,,NEW1263033581,Sch Music-Lecturer,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
126,,,,,,,,,,SUP0000000701,Sch Music-Head of School,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP00000007,,,
1263044737,,,,,,,,,,NEW1263044737,Sch Music-Deputy Head of School,Schl/Faculty Centre/Discipline,St Lucia Campus,S01,Sch Music,SUP0000000701,,,
129,,,,,,,,,,SUP0000000724,UQ Art Museum-Director (Central Serv & Div),Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,SUP00000007,,,
1291267292,,,,,,,,,,NEW1291267292,UQ Art Museum-Production Manager,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,SUP0000000724,,,
1291273082,,,,,,,,,,NEW1291273082,UQ Art Museum-Engagement & Training Officer,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293033939,,,
1293011532,,,,,,,,,,NEW1293011532,UQ Art Museum-Senior Registrar,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,SUP0000000724,,,
1293014457,,,,,,,,,,NEW1293014457,UQ Art Museum-Curator -Public Programs,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293033939,,,
1293014705,,,,,,,,,,NEW1293014705,UQ Art Museum-Operations Manager,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,SUP0000000724,,,
1293017995,,,,,,,,,,NEW1293017995,UQ Art Museum-Curator,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293043009,,,
1293019694,,,,,,,,,,NEW1293019694,UQ Art Museum-Registrar (Loans&Acquisitions),Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293011532,,,
1293025411,,,,,,,,,,NEW1293025411,UQ Art Museum-Executive Assistant,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293014705,,,
1293033939,,,,,,,,,,NEW1293033939,UQ Art Museum-Associate Director,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,SUP0000000724,,,
1293043009,,,,,,,,,,NEW1293043009,UQ Art Museum-Senior Curator,Branch/Directorate,St Lucia Campus,S01,UQ Art Museum,NEW1293033939,,,
1301255145,,,,,,,,,,NEW1301255145,Science-Senior Administrative Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1301255763,,,,,,,,,,NEW1301255763,Science-Faculty Executive Manager,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1301255848,,,,,,,,,,NEW1301255848,Science-Administrative Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1301257394,,,,,,,,,,NEW1301257394,Science-Principal Admin Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303020347,,,
1301257806,,,,,,,,,,NEW1301257806,Science-Associate Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
130,,,,,,,,,,SUP00000007,Science-Executive Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000001,,,
1301284143,,,,,,,,,,NEW1301284143,Science-Principal Scientific Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303019736,,,
1303000381,,,,,,,,,,NEW1303000381,Science-Administrative Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303001697,,,,,,,,,,NEW1303001697,Science-Principal Scientific Officer,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303002460,,,,,,,,,,NEW1303002460,Science-Senior Technical Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303022400,,,
1303003326,,,,,,,,,,NEW1303003326,Science-Administrative Officer,Faculty or equivalent,Gatton Campus,S29,Science,NEW1303025554,,,
1303005290,,,,,,,,,,NEW1303005290,Science-Administrative Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303005449,,,,,,,,,,NEW1303005449,Science-Principal Admin Officer,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303011174,,,,,,,,,,NEW1303011174,Science-Deputy Executive Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303016799,,,,,,,,,,NEW1303016799,Science-Associate Dean,Faculty or equivalent,Gatton Campus,S29,Science,SUP00000007,,,
1303017398,,,,,,,,,,NEW1303017398,Science-Human Resource Officer,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303019715,,,,,,,,,,NEW1303019715,Science-SeniorAdministration Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303019736,,,,,,,,,,NEW1303019736,Science-Work Health & Safety Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303020347,,,,,,,,,,NEW1303020347,"Science-Manager, Engagement",Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303021556,,,,,,,,,,NEW1303021556,Science-Senior Technical Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303022400,,,
1303021724,,,,,,,,,,NEW1303021724,Science-Infrastructure and Planning BP,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303022400,,,
1303022400,,,,,,,,,,NEW1303022400,Science-Senior Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303023637,,,,,,,,,,NEW1303023637,Science-Principal Engagement Officer,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303023742,,,,,,,,,,NEW1303023742,Science-Project Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303022400,,,
1303024033,,,,,,,,,,NEW1303024033,Science-Administrative Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303024056,,,,,,,,,,NEW1303024056,Science-Educational Designer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303025167,,,,,,,,,,NEW1303025167,Science-Project Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303025554,,,,,,,,,,NEW1303025554,Science-Senior Administration Officer,Faculty or equivalent,Gatton Campus,S29,Science,NEW1301255145,,,
1303025814,,,,,,,,,,NEW1303025814,Science-Faculty Research Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303025965,,,,,,,,,,NEW1303025965,Science-Associate Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303026349,,,,,,,,,,NEW1303026349,Science-Engagement Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303026360,,,
1303026351,,,,,,,,,,NEW1303026351,Science-Engagement Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303026357,,,
1303026352,,,,,,,,,,NEW1303026352,Science-Engagement Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303026360,,,
1303026357,,,,,,,,,,NEW1303026357,"Science-Assistant Manager, Engagement",Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303020347,,,
1303026360,,,,,,,,,,NEW1303026360,"Science-Assistant Manager, Engagement",Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303020347,,,
1303027716,,,,,,,,,,NEW1303027716,Science-International Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303027723,,,,,,,,,,NEW1303027723,Science-Senior Administrative Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255145,,,
1303028440,,,,,,,,,,NEW1303028440,Science-International Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303028445,,,,,,,,,,NEW1303028445,Science-Unpaid Functional Reports To,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301257806,,,
1303028879,,,,,,,,,,NEW1303028879,Science-Associate Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303033786,,,,,,,,,,NEW1303033786,Science-Governance Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303033787,,,,,,,,,,NEW1303033787,Science-Senior Data Analyst,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255763,,,
1303035142,,,,,,,,,,NEW1303035142,"Science-Manager, International",Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303020347,,,
1303036991,,,,,,,,,,NEW1303036991,Science-Student Experience Coordinator,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303040299,,,,,,,,,,NEW1303040299,Science-Research Partnerships Manager,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303041032,,,
1303040613,,,,,,,,,,NEW1303040613,Science-Student Experience Coordinator,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301255848,,,
1303041032,,,,,,,,,,NEW1303041032,Science-Associate Dean,Faculty or equivalent,St Lucia Campus,S01,Science,SUP00000007,,,
1303041566,,,,,,,,,,NEW1303041566,Science-Deputy Associate Dean,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1301257806,,,
1303041677,,,,,,,,,,NEW1303041677,Science-Administration Officer,Faculty or equivalent,St Lucia Campus,S01,Science,NEW1303033786,,,
